Epoch,Loss
0,225.2254180908203
1,223.67623901367188
2,222.151123046875
3,220.64920043945312
4,219.17189025878906
5,217.7103271484375
6,216.26487731933594
7,214.8261260986328
8,213.39129638671875
9,211.95884704589844
10,210.5161895751953
11,209.07643127441406
12,207.62152099609375
13,206.14955139160156
14,204.66372680664062
15,203.15704345703125
16,201.62722778320312
17,200.06390380859375
18,198.46270751953125
19,196.83143615722656
20,195.1591796875
21,193.4521942138672
22,191.7044677734375
23,189.91932678222656
24,188.08749389648438
25,186.20652770996094
26,184.2747039794922
27,182.2901611328125
28,180.25469970703125
29,178.1631622314453
30,176.02085876464844
31,173.82247924804688
32,171.56491088867188
33,169.25494384765625
34,166.88912963867188
35,164.4710235595703
36,162.00244140625
37,159.4746856689453
38,156.9003143310547
39,154.26075744628906
40,151.57846069335938
41,148.8461151123047
42,146.06240844726562
43,143.22555541992188
44,140.35604858398438
45,137.43560791015625
46,134.47262573242188
47,131.47552490234375
48,128.44859313964844
49,125.37892150878906
50,122.27924346923828
51,119.1644058227539
52,116.01084899902344
53,112.84538269042969
54,109.66059112548828
55,106.45329284667969
56,103.24542236328125
57,100.0212631225586
58,96.8077163696289
59,93.5924301147461
60,90.38477325439453
61,87.19305419921875
62,84.01515197753906
63,80.88037872314453
64,77.76007080078125
65,74.68489074707031
66,71.65319061279297
67,68.66425323486328
68,65.742919921875
69,62.872501373291016
70,60.065860748291016
71,57.33193588256836
72,54.67707824707031
73,52.09621810913086
74,49.60580062866211
75,47.20859909057617
76,44.898651123046875
77,42.68500900268555
78,40.58304977416992
79,38.58246994018555
80,36.68318176269531
81,34.88780975341797
82,33.200313568115234
83,31.62950897216797
84,30.148683547973633
85,28.776155471801758
86,27.505840301513672
87,26.338666915893555
88,25.260997772216797
89,24.276975631713867
90,23.377595901489258
91,22.553701400756836
92,21.810522079467773
93,21.136354446411133
94,20.523775100708008
95,19.96856117248535
96,19.46689224243164
97,19.01285171508789
98,18.596826553344727
99,18.214492797851562
100,17.8627986907959
101,17.538785934448242
102,17.23413848876953
103,16.948030471801758
104,16.679279327392578
105,16.42054557800293
106,16.17006492614746
107,15.927489280700684
108,15.69448471069336
109,15.464560508728027
110,15.240546226501465
111,15.021356582641602
112,14.803190231323242
113,14.590389251708984
114,14.379111289978027
115,14.175928115844727
116,13.976398468017578
117,13.780786514282227
118,13.589938163757324
119,13.40380573272705
120,13.223066329956055
121,13.049896240234375
122,12.881656646728516
123,12.719403266906738
124,12.564201354980469
125,12.413690567016602
126,12.269776344299316
127,12.131975173950195
128,11.997715950012207
129,11.870464324951172
130,11.748245239257812
